name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.9773612359,0.003094090832,32,1,64,0.11009,10.93204,99.3009
dc3,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.9773612359,0.003094090832,32,1,64,0.109967,10.826526,98.4525
trans5,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.9773612359,0.003094090832,32,1,64,0.110152,10.827654,98.2974
trans4,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.9773612359,0.003094090832,32,1,64,0.110336,10.826938,98.127
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.9773612359,0.003094090832,32,1,64,0.110408,10.821959,98.0179
ins2,309412,309412,2751484,8.892622135,5,309412,590.3552878,2.87E-05,1.62E-05,1,0.001907990924,32,1,64,0.34262,26.271477,76.6782
ASIC_100k,99340,99340,954163,9.605023153,1,99029,420.9144045,9.67E-05,1.01E-05,0.9968693376,0.004237108964,32,1,64,0.115753,8.48169,73.274
ASIC_680k,682862,682862,3871773,5.66992013,1,395259,659.807358,8.30E-06,1.46E-06,0.5788270544,0.0009662382121,32,1,128,0.6178,37.665802,60.9676
blockqp1,60012,60012,640033,10.66508365,2,40011,305.4301532,0.000177715851,3.33E-05,0.6667166567,0.005089484656,32,1,64,0.0628224,3.553638,56.5664
boyd1,93279,93279,1211231,12.98503414,3,93261,653.397365,0.0001392064039,3.22E-05,0.9998070305,0.007004763827,32,16,32,0.123771,6.024878,48.6776
mult_dcop_03,25187,25187,193216,7.671258983,1,22767,143.8139075,0.0003045721596,3.97E-05,0.9039186882,0.005709846647,32,1,32,0.0281702,1.370276,48.6428
brainpc2,27607,27607,179395,6.498170754,1,13799,131.2550629,0.0002353812712,3.62E-05,0.4998369979,0.004754412392,32,1,32,0.0261632,1.242327,47.4838
mult_dcop_02,25187,25187,193276,7.673641164,1,22767,143.8138605,0.0003046667394,3.97E-05,0.9039186882,0.00570984478,32,1,32,0.0282726,1.30306,46.0891
mult_dcop_01,25187,25187,193276,7.673641164,1,22767,143.8138605,0.0003046667394,3.97E-05,0.9039186882,0.00570984478,32,1,32,0.0283034,1.303173,46.043
bloweybq,10001,10001,69991,6.99840016,4,10001,99.940023,0.000699770039,0.000399960004,1,0.009993002999,32,1,32,0.0130867,0.59905,45.7755
ASIC_320k,321821,321821,2635364,8.18891247,1,203800,502.951409,2.54E-05,3.11E-06,0.6332712906,0.001562829676,32,1,64,0.378931,15.736986,41.53
hangGlider_4,15561,15561,149532,9.609408136,2,13831,110.8353632,0.0006175315298,0.0001285264443,0.8888246257,0.007122637567,32,1,32,0.0203674,0.824494,40.4811
hangGlider_5,16011,16011,155246,9.696208856,2,14231,112.4273591,0.0006055967058,0.0001249141215,0.8888264318,0.007021882402,32,1,32,0.0210022,0.764355,36.394
hangGlider_3,10260,10260,92703,9.035380117,2,9119,89.97590762,0.0008806413369,0.0001949317739,0.888791423,0.00876958164,32,1,16,0.0155955,0.547625,35.1143
transient,178866,178866,961790,5.377153847,1,60423,147.1854846,3.01E-05,5.59E-06,0.3378115461,0.0008228812886,32,1,64,0.152863,5.272115,34.4892
shermanACb,18510,18510,145149,7.84165316,1,10405,99.9494537,0.000423644147,5.40E-05,0.5621285791,0.005399754387,32,1,32,0.0209715,0.675799,32.2246
rajat28,87190,87190,607235,6.96450281,1,29105,101.9774214,7.99E-05,1.15E-05,0.3338112169,0.001169599971,32,1,16,0.0812442,2.534574,31.197
rajat25,87190,87190,607235,6.96450281,1,29105,101.9774214,7.99E-05,1.15E-05,0.3338112169,0.001169599971,32,1,16,0.0812032,2.519941,31.0325
rajat17,94294,94294,641159,6.799573674,1,28755,97.72929148,7.21E-05,1.06E-05,0.304950474,0.001036431708,32,1,16,0.0858214,2.632939,30.6793
rajat18,94294,94294,485143,5.145003924,1,28747,96.93349028,5.46E-05,1.06E-05,0.304865633,0.001027992134,32,1,64,0.0753664,2.277161,30.2145
rajat24,358172,358172,1948235,5.439383871,1,105296,180.1159959,1.52E-05,2.79E-06,0.2939816624,0.0005028757018,32,1,64,0.290273,8.766955,30.2024
rajat16,94294,94294,641159,6.799573674,1,28755,97.72929148,7.21E-05,1.06E-05,0.304950474,0.001036431708,32,1,16,0.085719,2.569585,29.9768
TSOPF_FS_b9_c6,14454,14454,147972,10.23744292,1,7210,105.2533868,0.0007082774957,6.92E-05,0.498823855,0.007281955638,32,1,32,0.0188314,0.553155,29.3741
circuit_3,12127,12127,48137,3.969407108,1,2305,21.04686907,0.0003273197912,8.25E-05,0.1900717407,0.001735537979,32,1,16,0.0125747,0.357683,28.4447
rajat20,86916,86916,605045,6.961261448,1,29105,101.8734922,8.01E-05,1.15E-05,0.3348635464,0.001172091355,32,1,16,0.0811008,2.30442,28.4143
case9,14454,14454,147972,10.23744292,1,7210,105.2533868,0.0007082774957,6.92E-05,0.498823855,0.007281955638,32,1,16,0.0195072,0.552806,28.3386
TSOPF_RS_b39_c30,60098,60098,1079986,17.97041499,2,32,13.99759265,0.0002990185196,3.33E-05,0.0005324636427,0.0002329127866,32,1,64,0.093112,2.589348,27.809
