name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
trans4,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61e-05,8.56e-06,0.9773612359,0.003094090832,32,1,64,0.110336,10.826938,98.127
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61e-05,8.56e-06,0.9773612359,0.003094090832,32,1,64,0.110408,10.821959,98.0179
rajat21,411676,411676,1893370,4.599175079,1,118689,188.7726632,1.12e-05,2.43e-06,0.2883068238,0.0004585466804,32,1,32,0.309484,8.561459,27.6637
bloweya,30004,30004,150009,4.999633382,2,10001,57.76292893,0.0001666322284,6.67e-05,0.3333222237,0.001925174275,32,1,32,0.0246067,0.666399,27.082
TSOPF_RS_b39_c19,38098,38098,684206,17.95910546,2,32,13.99598561,0.0004713923425,5.25e-05,0.0008399391044,0.0003673679881,32,1,64,0.0607949,1.499761,24.6692
lowThrust_5,16262,16262,198369,12.19831509,2,6323,70.12432317,0.0007501116154,0.0001229861026,0.3888205633,0.004312158601,32,1,32,0.0218726,0.357417,16.3409
case39,40216,40216,1042160,25.91406405,1,20024,316.2263181,0.0006443719926,2.49e-05,0.4979112791,0.007863196691,32,1,64,0.091392,1.421855,15.5578
circuit_4,80209,80209,307604,3.835030982,1,6750,30.03122943,4.78e-05,1.25e-05,0.08415514468,0.000374412216,32,1,16,0.0573542,0.804157,14.0209
web-Stanford,281903,281903,2312497,8.203165628,0,255,11.31140641,2.91e-05,0.0,0.0009045664644,4.01e-05,32,1,64,0.325591,3.258501,10.008
a2nnsnsl,80016,80016,347222,4.339407119,3,5003,47.73063206,5.42e-05,3.75e-05,0.062524995,0.0005965135981,32,1,64,0.0732365,0.501678,6.85011
rajat15,37261,37261,443573,11.90448458,1,2787,27.60756783,0.0003194891329,2.68e-05,0.07479670433,0.0007409239642,32,1,64,0.0432538,0.233144,5.39014
wikipedia-20051105,1634989,1634989,19753078,12.08147455,0,4970,31.07497821,7.39e-06,0.0,0.003039775803,1.9e-05,32,1,32,3.16812,9.459568,2.98586
Zd_Jac6,22835,22835,1711983,74.97188526,1,1050,175.4823306,0.003283200581,4.38e-05,0.04598204511,0.007684796609,32,4,16,0.0929075,0.259041,2.78816
ca-HepPh,12008,12008,237010,19.73767488,1,491,46.63689855,0.001643710433,8.33e-05,0.04088940706,0.003883819,32,1,8,0.0220979,0.049746,2.25116
std1_Jac3,21982,21982,1455848,66.22909653,1,1030,169.2962482,0.003012878561,4.55e-05,0.04685651897,0.007701585305,32,2,16,0.0786944,0.144937,1.84177
ca-GrQc,5242,5242,28980,5.528424266,1,81,7.917909911,0.001054640264,0.0001907668829,0.01545211751,0.001510474993,32,1,8,0.00857088,0.013107,1.52925
av41092,41092,41092,1683902,40.978828,2,2135,167.0380647,0.0009972458872,4.87e-05,0.05195658522,0.004064977726,32,2,16,0.096471,0.132956,1.3782
tols340,340,340,2196,6.458823529,1,90,19.75589439,0.01899653979,0.002941176471,0.2647058824,0.05810557175,32,1,4,0.00562176,0.007629,1.35705
bcsstm13,2003,2003,21943,10.9550674,1,70,15.97076642,0.005469329705,0.0004992511233,0.03494757863,0.007973423074,32,1,8,0.00748544,0.010045,1.34194
Zd_Jac3_db,22835,22835,713907,31.26371798,1,224,58.95657121,0.001369113991,4.38e-05,0.009809502956,0.002581851159,32,2,16,0.0500429,0.065085,1.30058
std1_Jac2_db,21982,21982,498771,22.68997361,1,211,50.10739543,0.00103220697,4.55e-05,0.009598762624,0.002279473907,32,2,16,0.0381542,0.04736,1.24128
bcsstm03,112,112,112,1.0,1,1,0.0,0.008928571429,0.008928571429,0.008928571429,1.73e-18,32,1,1,0.00493568,0.005868,1.18889
bcsstk03,112,112,640,5.714285714,4,6,0.5890150894,0.05102040816,0.03571428571,0.05357142857,0.005259063298,32,1,2,0.00521216,0.006042,1.15921
thermal1,82654,82654,574458,6.950153653,1,11,0.8767726535,8.41e-05,1.21e-05,0.0001330849082,1.06e-05,32,1,16,0.0571597,0.064205,1.12326
