name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,32,1,64,0.110408,10.821959,98.0179
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,64,1,64,0.230697,13.726904,59.5019
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,128,1,64,0.446577,13.750201,30.7902
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,256,1,64,0.86782,13.706792,15.7945
dc1,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,512,1,256,1.69064,13.93154,8.24039
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,32,1,64,0.11009,10.93204,99.3009
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,64,1,64,0.22954,13.726372,59.7995
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,128,1,64,0.445655,13.750171,30.8538
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,256,1,128,0.86697,13.695509,15.797
dc2,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,512,1,256,1.69225,13.878005,8.20092
dc3,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,32,1,64,0.109967,10.826526,98.4525
dc3,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,64,1,64,0.230001,13.726772,59.6814
dc3,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,128,1,128,0.446054,13.749914,30.8257
dc3,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,256,1,64,0.857825,13.729495,16.005
dc3,116835,116835,766396,6.559643942,1,114190,361.4981023,5.61E-05,8.56E-06,0.977361236,0.003094091,512,1,64,1.69388,13.95367,8.2377
