name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
com-Orkut,3072441,3072441,234370166,76.28142119,1,33313,154.7812729,2.48e-05,3.25e-07,0.01084251903,5.04e-05,32,2,16,3282.514629,29.2532,35.479523,1.21284
hollywood-2009,1139905,1139905,113891327,99.91299889,1,11468,271.8649141,8.77e-05,8.77e-07,0.0100604875,0.0002384978696,64,2,16,3484.869772,12.3626,13.780622,1.1147
dielFilterV3real,1102824,1102824,89306020,80.97939472,9,270,36.55307958,7.34e-05,8.16e-06,0.0002448260103,3.31e-05,64,2,32,638.4479857,7.3059,8.22783,1.12619
kron_g500-logn20,1048576,1048576,89239674,85.1055851,0,131504,640.9821441,8.12e-05,0.0,0.1254119873,0.0006112882081,32,4,64,8999.258677,6.05368,18.877216,3.1183
nv2,1453908,1453908,52728362,36.26664273,4,84,9.173235438,2.49e-05,2.75e-06,5.78e-05,6.31e-06,32,4,16,516.1396981,7.06527,7.855647,1.11187
sx-stackoverflow,2601977,2601977,36233450,13.92535368,0,38148,137.8498583,5.35e-06,0.0,0.01466115957,5.3e-05,32,8,16,2235.026569,5.59836,8.545464,1.52642
dielFilterV3clx,420408,420408,32886208,78.22450572,9,303,36.29948019,0.0001860680713,2.14e-05,0.0007207284352,8.63e-05,64,2,16,301.4885318,2.55275,2.907146,1.13883
mouse_gene,45101,45101,28967291,642.2760249,1,8032,856.669034,0.01424083778,2.22e-05,0.1780891776,0.01899445764,32,8,16,1155.82091,1.40664,1.870418,1.32971
human_gene1,22283,22283,24669643,1107.106,1,7939,1409.121606,0.04968388458,4.49e-05,0.3562805726,0.06323751766,32,8,16,1466.153501,1.15263,1.510584,1.31055
kron_g500-logn18,262144,262144,21165908,80.74153137,0,49163,453.7323043,0.0003080044989,0.0,0.1875419617,0.001730851381,32,4,16,941.0400851,1.23603,5.76985,4.66805
kron_g500-logn17,131072,131072,10228360,78.03619385,0,29936,378.1050356,0.0005953689106,0.0,0.2283935547,0.00288471249,32,4,16,405.5364885,0.571996,2.885489,5.0446
pattern1,19242,19242,9323432,484.5354953,9,6028,379.7426048,0.02518113997,0.0004677268475,0.3132730485,0.01973509016,64,16,16,331.0966046,0.708833,1.221233,1.72288
gupta3,16783,16783,9323427,555.5280343,33,14672,1233.520259,0.03310063959,0.001966275398,0.8742179586,0.07349819814,256,2,16,481.7293515,3.13876,3.763815,1.19914
torso1,116158,116158,8516500,73.31823895,9,3263,419.587941,0.0006311940542,7.75e-05,0.0280910484,0.003612217334,32,8,32,570.8980431,0.448184,0.607713,1.35595
Stanford_Berkeley,683446,683446,7583376,11.09579396,0,83448,284.8320877,1.62e-05,0.0,0.122098893,0.0004167587311,32,32,64,9349.586513,0.66092,6.697984,10.1343
pkustk12,94653,94653,7512317,79.36691917,12,4146,148.3910384,0.0008385040006,0.000126778866,0.04380209819,0.001567737297,128,2,64,203.2417035,1.11458,1.330954,1.19413
TSOPF_RS_b2052_c1,25626,25626,6761100,263.8375088,2,635,310.4750537,0.01029569612,7.8e-05,0.0247795208,0.01211562685,32,8,16,187.3221014,0.329073,0.373248,1.13424
Chebyshev4,68121,68121,5377761,78.94424627,9,68121,1061.43997,0.001158882669,0.0001321178491,1.0,0.01558168509,32,4,64,3227.481723,0.32085,4.987125,15.5435
TSOPF_RS_b678_c1,18696,18696,4396289,235.1459671,2,512,252.7656701,0.01257734098,0.000106974754,0.02738553701,0.01351977268,32,2,16,59.34788645,0.20609,0.256635,1.24526
gupta2,62064,62064,4248286,68.45008378,3,8413,356.0233759,0.001102895137,4.83e-05,0.1355536221,0.005736391078,32,4,32,340.8956622,0.272189,0.773253,2.84087
pkustk04,55590,55590,4218660,75.88882893,12,4230,110.8879208,0.001365152526,0.000215866163,0.07609282245,0.001994745832,32,2,16,75.37741659,0.226652,0.462377,2.04003
vsp_bcsstk30_500sep_10in_1Kout,58348,58348,4033156,69.12243779,0,219,32.16167706,0.001184658219,0.0,0.003753342017,0.0005512044468,32,2,16,37.27898789,0.24108,0.328571,1.36291
