name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
mycielskian18,196607,196607,300933832,1530.636407,17,98303,2817.169586,0.007785258951,8.65e-05,0.4999974569,0.01432893837,32,1,64,16935.60486,17.4271,26.416149,1.51581
com-Orkut,3072441,3072441,234370166,76.28142119,1,33313,154.7812729,2.48e-05,3.25e-07,0.01084251903,5.04e-05,32,2,16,3282.514629,29.2532,35.479523,1.21284
hollywood-2009,1139905,1139905,113891327,99.91299889,1,11468,271.8649141,8.77e-05,8.77e-07,0.0100604875,0.0002384978696,64,2,16,3484.869772,12.3626,13.780622,1.1147
dielFilterV3real,1102824,1102824,89306020,80.97939472,9,270,36.55307958,7.34e-05,8.16e-06,0.0002448260103,3.31e-05,64,2,32,638.4479857,7.3059,8.22783,1.12619
kron_g500-logn20,1048576,1048576,89239674,85.1055851,0,131504,640.9821441,8.12e-05,0.0,0.1254119873,0.0006112882081,32,4,64,8999.258677,6.05368,18.877216,3.1183
com-LiveJournal,3997962,3997962,69362378,17.34943404,1,14815,42.95713421,4.34e-06,2.5e-07,0.003705638023,1.07e-05,64,1,8,1008.190471,16.3992,18.322554,1.11728
soc-LiveJournal1,4847571,4847571,68993773,14.23264827,0,20293,36.08028044,2.94e-06,0.0,0.004186220274,7.44e-06,64,1,8,970.1637144,17.2213,19.032566,1.10518
hugebubbles-00010,19458087,19458087,58359528,2.999242834,2,3,0.02750622842,1.54e-07,1.03e-07,1.54e-07,1.41e-09,32,1,16,885.0332402,12.7448,15.436658,1.21121
GAP-road,23947347,23947347,57708624,2.409812828,1,9,0.9289896905,1.01e-07,4.18e-08,3.76e-07,3.88e-08,32,1,8,1071.890229,12.6233,15.759616,1.24845
wb-edu,9845725,9845725,57156537,5.805213633,0,3841,20.29189613,5.9e-07,0.0,0.000390118554,2.06e-06,32,1,16,1382.297367,5.43215,6.222725,1.14554
hugebubbles-00000,18318143,18318143,54940162,2.999221155,2,3,0.02789693035,1.64e-07,1.09e-07,1.64e-07,1.52e-09,32,1,32,789.3445127,11.1174,13.734205,1.23538
nv2,1453908,1453908,52728362,36.26664273,4,84,9.173235438,2.49e-05,2.75e-06,5.78e-05,6.31e-06,32,4,16,516.1396981,7.06527,7.855647,1.11187
hugetrace-00020,16002413,16002413,47997626,2.999399278,2,3,0.02450226595,1.87e-07,1.25e-07,1.87e-07,1.53e-09,32,1,16,972.4996171,9.08643,12.294891,1.3531
wikipedia-20070206,3566907,3566907,45030389,12.62449203,0,7061,32.97536673,3.54e-06,0.0,0.001979586235,9.24e-06,32,1,16,778.5950996,6.02856,6.929459,1.14944
wikipedia-20061104,3148440,3148440,39383235,12.50880912,0,6576,33.15733494,3.97e-06,0.0,0.002088653428,1.05e-05,32,1,16,691.9995153,5.23838,6.260214,1.19507
wikipedia-20060925,2983494,2983494,37269096,12.49176167,0,5852,32.8748034,4.19e-06,0.0,0.001961458612,1.1e-05,32,1,16,640.2041789,4.89929,5.907804,1.20585
sx-stackoverflow,2601977,2601977,36233450,13.92535368,0,38148,137.8498583,5.35e-06,0.0,0.01466115957,5.3e-05,32,8,16,2235.026569,5.59836,8.545464,1.52642
hugetrace-00010,12057441,12057441,36164358,2.999339412,2,3,0.02569341461,2.49e-07,1.66e-07,2.49e-07,2.13e-09,32,1,32,690.9203519,7.28343,9.014642,1.23769
road_central,14081816,14081816,33866826,2.405004156,1,8,0.9292594869,1.71e-07,7.1e-08,5.68e-07,6.6e-08,32,1,8,518.066025,8.52605,10.287483,1.20659
mycielskian16,49151,49151,33382480,679.1821123,15,24575,1079.487788,0.01381827658,0.0003051819902,0.4999898273,0.0219626821,32,1,64,930.4945666,1.84717,3.230177,1.74872
dielFilterV3clx,420408,420408,32886208,78.22450572,9,303,36.29948019,0.0001860680713,2.14e-05,0.0007207284352,8.63e-05,64,2,16,301.4885318,2.55275,2.907146,1.13883
soc-Pokec,1632803,1632803,30622564,18.75459807,0,8763,32.14134057,1.15e-05,0.0,0.005366844622,1.97e-05,32,1,8,488.9029958,4.78331,5.290885,1.10611
mouse_gene,45101,45101,28967291,642.2760249,1,8032,856.669034,0.01424083778,2.22e-05,0.1780891776,0.01899445764,32,8,16,1155.82091,1.40664,1.870418,1.32971
Spielman_k300,9045202,9045202,27226204,3.010016139,3,601,1.999908418,3.33e-07,3.32e-07,6.64e-05,2.21e-07,32,1,16,202.9005709,4.06512,4.88536,1.20178
germany_osm,11548845,11548845,24738362,2.14206373,1,13,0.5288883298,1.85e-07,8.66e-08,1.13e-06,4.58e-08,32,1,8,535.0443811,5.19223,6.622434,1.27545
human_gene1,22283,22283,24669643,1107.106,1,7939,1409.121606,0.04968388458,4.49e-05,0.3562805726,0.06323751766,32,8,16,1466.153501,1.15263,1.510584,1.31055
Transport,1602111,1602111,23500731,14.66860349,5,15,1.115285426,9.16e-06,3.12e-06,9.36e-06,6.96e-07,32,1,32,336.2729626,1.56817,1.839954,1.17331
333SP,3712815,3712815,22217266,5.983941026,2,28,0.70296052,1.61e-06,5.39e-07,7.54e-06,1.89e-07,32,1,16,225.8968149,3.47482,3.831061,1.10252
as-Skitter,1696415,1696415,22190596,13.08087703,1,35455,136.8605978,7.71e-06,5.89e-07,0.02089995667,8.07e-05,32,1,64,3789.557022,2.53117,4.566528,1.80412
kron_g500-logn18,262144,262144,21165908,80.74153137,0,49163,453.7323043,0.0003080044989,0.0,0.1875419617,0.001730851381,32,4,16,941.0400851,1.23603,5.76985,4.66805
hugetric-00010,6592765,6592765,19771708,2.999000874,2,3,0.03159315281,4.55e-07,3.03e-07,4.55e-07,4.79e-09,32,1,32,284.3317837,4.25569,5.169459,1.21472
wikipedia-20051105,1634989,1634989,19753078,12.08147455,0,4970,31.07497821,7.39e-06,0.0,0.003039775803,1.9e-05,32,1,32,377.0755388,2.39737,2.738422,1.14226
hugetric-00000,5824554,5824554,17467046,2.998864119,2,3,0.0336836865,5.15e-07,3.43e-07,5.15e-07,5.78e-09,32,1,32,255.138658,3.54247,4.38741,1.23852
great-britain_osm,7733822,7733822,16313034,2.109310765,1,8,0.5433756428,2.73e-07,1.29e-07,1.03e-06,7.03e-08,32,1,8,271.2045306,3.44205,4.397517,1.27759
patents,3774768,3774768,14970767,3.966009832,0,36,5.315609432,1.05e-06,0.0,9.54e-06,1.41e-06,32,1,64,326.4763994,3.3054,3.72055,1.1256
higgs-twitter,456626,456626,14855842,32.53393806,1,1259,49.13631403,7.12e-05,2.19e-06,0.002757179836,0.0001076073505,32,1,16,343.7121548,1.14622,1.266534,1.10497
italy_osm,6686493,6686493,14027956,2.097954189,1,9,0.4082251091,3.14e-07,1.5e-07,1.35e-06,6.11e-08,32,1,8,349.4528311,2.68801,3.593871,1.337
TSOPF_FS_b300_c3,84414,84414,13135930,155.6131684,1,41542,1181.182724,0.001843452134,1.18e-05,0.4921221598,0.0139927349,32,1,64,1870.531643,0.894505,3.241513,3.62381
mycielskian15,24575,24575,11111110,452.1306205,14,12287,664.174659,0.01839799066,0.0005696846389,0.4999796541,0.02702643577,32,1,32,200.2053018,0.57643,1.229865,2.13359
