name,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(ms)
bert.encoder.layer.0.attention.self.query.weight,CELL,512,2,0.0058984700590372086,0.0051201581954956055,0.15216025710105896,0.07959328
bert.encoder.layer.0.attention.self.key.weight,CELL,512,2,0.006343511864542961,0.005585243925452232,0.15853115916252136,0.07281934999999999
bert.encoder.layer.0.attention.self.value.weight,CELL,512,2,0.00577416829764843,0.005028320476412773,0.16014418005943298,0.06919321
bert.encoder.layer.0.attention.output.dense.weight,CELL,512,1,0.006378835067152977,0.005444824695587158,0.1539547611027956,0.07083367
bert.encoder.layer.0.intermediate.dense.weight,CELL,512,1,0.006340382620692253,0.005607273429632187,1.213138246908784,0.42976172
bert.encoder.layer.0.output.dense.weight,CELL,512,1,0.006157606840133667,0.0050502922385931015,0.9510697480291128,0.38442545
bert.encoder.layer.1.attention.self.query.weight,CELL,512,2,0.006632350385189056,0.005465071648359299,0.1537250652909279,0.06753245999999999
bert.encoder.layer.1.attention.self.key.weight,CELL,512,2,0.005823226645588875,0.004946840927004814,0.15908988751471043,0.06915295
bert.encoder.layer.1.attention.self.value.weight,CELL,512,2,0.0057357847690582275,0.00510508194565773,0.09975339844822884,0.04417194
bert.encoder.layer.1.attention.output.dense.weight,CELL,512,1,0.006275704130530357,0.005600566044449806,0.09660415537655354,0.03627747
bert.encoder.layer.1.intermediate.dense.weight,CELL,512,2,0.006656039506196976,0.005576347932219505,0.7463755793869495,0.24899238999999998
bert.encoder.layer.1.output.dense.weight,CELL,512,2,0.006194146350026131,0.005118843168020248,0.5596740916371346,0.17038477
bert.encoder.layer.2.attention.self.query.weight,CELL,512,2,0.006348978728055954,0.005476098507642746,0.21779374778270721,0.07871895
bert.encoder.layer.2.attention.self.key.weight,CELL,512,2,0.005722571164369583,0.004904830828309059,0.23627533949911594,0.07925453
bert.encoder.layer.2.attention.self.value.weight,CELL,512,2,0.005772113800048828,0.00501299649477005,0.15730151906609535,0.06816325999999999
bert.encoder.layer.2.attention.output.dense.weight,CELL,512,1,0.005862221121788025,0.005231814458966255,0.14814657345414162,0.05137274
bert.encoder.layer.2.intermediate.dense.weight,CELL,512,2,0.006298676133155823,0.005272123962640762,0.8680000845342875,0.30478905
bert.encoder.layer.2.output.dense.weight,CELL,512,2,0.0063909851014614105,0.005661683157086372,0.6125360075384378,0.18752115
bert.encoder.layer.3.attention.self.query.weight,CELL,512,2,0.005931813269853592,0.005228754132986069,0.19587873481214046,0.06839023000000001
bert.encoder.layer.3.attention.self.key.weight,CELL,512,2,0.0057345908135175705,0.004866408184170723,0.2158561386168003,0.07879354
bert.encoder.layer.3.attention.self.value.weight,CELL,512,1,0.0058722663670778275,0.005098160356283188,0.16296060755848885,0.04506620000000001
bert.encoder.layer.3.attention.output.dense.weight,CELL,512,1,0.006349531933665276,0.005206644535064697,0.15744617395102978,0.09464852000000001
bert.encoder.layer.3.intermediate.dense.weight,CELL,512,2,0.0057001300156116486,0.004984823986887932,0.5991187412291765,0.21509915000000002
bert.encoder.layer.3.output.dense.weight,CELL,512,2,0.006276853382587433,0.005581056699156761,0.4375374987721443,0.14987273
bert.encoder.layer.4.attention.self.query.weight,CELL,512,1,0.005991607904434204,0.0053395479917526245,0.09743819385766983,0.037545350000000005
bert.encoder.layer.4.attention.self.key.weight,CELL,512,1,0.005834776908159256,0.005041176453232765,0.10467040911316872,0.037673319999999996
bert.encoder.layer.4.attention.self.value.weight,CELL,512,1,0.005792263895273209,0.005041174590587616,0.08716596849262714,0.02451478
bert.encoder.layer.4.attention.output.dense.weight,CELL,512,1,0.005931699648499489,0.005172455683350563,0.0789619404822588,0.05438484
bert.encoder.layer.4.intermediate.dense.weight,CELL,512,2,0.005799002945423126,0.005077144131064415,0.5803352724760771,0.20722254
bert.encoder.layer.4.output.dense.weight,CELL,512,2,0.006292978301644325,0.005008801817893982,0.4389942456036806,0.12936065
bert.encoder.layer.5.attention.self.query.weight,CELL,512,1,0.005794968456029892,0.005050105974078178,0.1003525797277689,0.05611925
bert.encoder.layer.5.attention.self.key.weight,CELL,512,1,0.005705574527382851,0.005002744495868683,0.12574534304440022,0.053525420000000004
bert.encoder.layer.5.attention.self.value.weight,CELL,512,1,0.006292158737778664,0.005613751709461212,0.11499234102666378,0.05665595
bert.encoder.layer.5.attention.output.dense.weight,CELL,512,1,0.00577332079410553,0.005099251866340637,0.12500019744038582,0.07612885999999999
bert.encoder.layer.5.intermediate.dense.weight,CELL,512,2,0.006003441289067268,0.005315184593200684,0.4951429199427366,0.15516652
bert.encoder.layer.5.output.dense.weight,CELL,512,2,0.005751408636569977,0.004960905760526657,0.39416898787021637,0.12692316
bert.encoder.layer.6.attention.self.query.weight,CELL,512,1,0.005709180608391762,0.005190348252654076,0.03900723159313202,0.01366395
bert.encoder.layer.6.attention.self.key.weight,CELL,512,1,0.00574047677218914,0.0050679221749305725,0.05328270420432091,0.04154274
bert.encoder.layer.6.attention.self.value.weight,CELL,512,1,0.005828818306326866,0.0050484854727983475,0.0505345705896616,0.02404595
bert.encoder.layer.6.attention.output.dense.weight,CELL,512,1,0.005889628082513809,0.005236765369772911,0.04469630867242813,0.024977140000000002
bert.encoder.layer.6.intermediate.dense.weight,CELL,512,2,0.005768723785877228,0.005014067515730858,0.49034146033227444,0.13335390000000003
bert.encoder.layer.6.output.dense.weight,CELL,512,2,0.005739942193031311,0.004984984174370766,0.4170385096222162,0.12878123
bert.encoder.layer.7.attention.self.query.weight,CELL,512,1,0.006243092939257622,0.0049880500882864,0.11387289315462112,0.05471416
bert.encoder.layer.7.attention.self.key.weight,CELL,512,1,0.0057424139231443405,0.00509350560605526,0.14899965561926365,0.10134537000000002
bert.encoder.layer.7.attention.self.value.weight,CELL,512,1,0.005822403356432915,0.00503489188849926,0.14577359706163406,0.04756474
bert.encoder.layer.7.attention.output.dense.weight,CELL,512,1,0.005825687199831009,0.005043733865022659,0.1399920918047428,0.08239665
bert.encoder.layer.7.intermediate.dense.weight,CELL,512,2,0.005712773650884628,0.004943879321217537,0.42127656377851963,0.1334427
bert.encoder.layer.7.output.dense.weight,CELL,512,2,0.006341859698295593,0.005654359236359596,0.32046641781926155,0.13421513
bert.encoder.layer.8.attention.self.query.weight,CELL,512,1,0.006034214049577713,0.005359997972846031,0.05391833744943142,0.024930300000000002
bert.encoder.layer.8.attention.self.key.weight,CELL,512,1,0.005794301629066467,0.0049966126680374146,0.05656258016824722,0.02514967
bert.encoder.layer.8.attention.self.value.weight,CELL,512,1,0.005770986899733543,0.005023384466767311,0.056780144572257996,0.0193254
bert.encoder.layer.8.attention.output.dense.weight,CELL,512,1,0.005881179124116898,0.00522197037935257,0.04871384799480438,0.0313176
bert.encoder.layer.8.intermediate.dense.weight,CELL,512,1,0.0058090463280677795,0.005239542573690414,0.08550848998129368,0.04572013
bert.encoder.layer.8.output.dense.weight,CELL,512,1,0.005798354744911194,0.005166852846741676,0.06190147064626217,0.034110949999999994
bert.encoder.layer.9.attention.self.query.weight,CELL,512,1,0.00572962686419487,0.005067858844995499,0.10816685669124126,0.056446899999999994
bert.encoder.layer.9.attention.self.key.weight,CELL,512,1,0.005795801058411598,0.005002686753869057,0.11431960761547089,0.06396916
bert.encoder.layer.9.attention.self.value.weight,CELL,512,1,0.005747610703110695,0.005071420222520828,0.03177034854888916,0.02283466
bert.encoder.layer.9.attention.output.dense.weight,CELL,512,1,0.006045915186405182,0.005117347463965416,0.027986904606223106,0.021999430000000004
bert.encoder.layer.9.intermediate.dense.weight,CELL,512,1,0.0057495832443237305,0.0050547923892736435,0.055455783382058144,0.03984814
bert.encoder.layer.9.output.dense.weight,CELL,512,1,0.005785003304481506,0.005021683871746063,0.030851047486066818,0.01953154
bert.encoder.layer.10.attention.self.query.weight,CELL,512,1,0.005718361586332321,0.0049513354897499084,0.055550502613186836,0.06373465999999998
bert.encoder.layer.10.attention.self.key.weight,CELL,512,1,0.0057740285992622375,0.005019143223762512,0.054212404415011406,0.019195450000000003
bert.encoder.layer.10.attention.self.value.weight,CELL,512,1,0.0058402735739946365,0.005040999501943588,0.025124147534370422,0.022376749999999997
bert.encoder.layer.10.attention.output.dense.weight,CELL,512,1,0.005945907905697823,0.00503351166844368,0.03752672299742699,0.02911351
bert.encoder.layer.10.intermediate.dense.weight,CELL,512,1,0.0057926662266254425,0.005105087533593178,0.17289298586547375,0.05739798000000001
bert.encoder.layer.10.output.dense.weight,CELL,512,1,0.0057668909430503845,0.005153907462954521,0.10829314775764942,0.06278271
bert.encoder.layer.11.attention.self.query.weight,CELL,512,1,0.005769131705164909,0.0050797127187252045,0.05031812936067581,0.03704449
bert.encoder.layer.11.attention.self.key.weight,CELL,512,1,0.005862444639205933,0.0050134677439928055,0.04122875817120075,0.025598900000000004
bert.encoder.layer.11.attention.self.value.weight,CELL,512,1,0.005850519984960556,0.005199013277888298,0.014999108389019966,0.011985290000000001
bert.encoder.layer.11.attention.output.dense.weight,CELL,512,1,0.005865784361958504,0.005015585571527481,0.020856427028775215,0.01268104
bert.encoder.layer.11.intermediate.dense.weight,CELL,512,1,0.0058913566172122955,0.005059445276856422,0.2014901302754879,0.07062845
bert.encoder.layer.11.output.dense.weight,CELL,512,1,0.006225569173693657,0.005085663869976997,0.13623702339828014,0.062158290000000005
