name,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(ms)
bert.encoder.layer.0.attention.self.query.weight,CELL,512,1,0.005981558933854103,0.005258964374661446,0.007666748017072678,0.007282969999999999
bert.encoder.layer.0.attention.self.key.weight,CELL,512,1,0.0061195604503154755,0.00531027652323246,0.007957952097058296,0.0070733
bert.encoder.layer.0.attention.self.value.weight,CELL,512,1,0.005989508703351021,0.005300944671034813,0.008872922509908676,0.006879629999999999
bert.encoder.layer.0.attention.output.dense.weight,CELL,512,1,0.006007138639688492,0.0053019169718027115,0.012861687690019608,0.011911330000000001
bert.encoder.layer.0.intermediate.dense.weight,CELL,512,2,0.006584452465176582,0.005855944007635117,0.9245078004896641,0.29020019
bert.encoder.layer.0.output.dense.weight,CELL,512,2,0.006055066362023354,0.00532614067196846,0.7038470432162285,0.24735949
bert.encoder.layer.1.attention.self.query.weight,CELL,512,1,0.0069942716509103775,0.005866317078471184,0.04704014211893082,0.025297079999999996
bert.encoder.layer.1.attention.self.key.weight,CELL,512,1,0.006025791168212891,0.0052572209388017654,0.047904519364237785,0.02852478
bert.encoder.layer.1.attention.self.value.weight,CELL,512,1,0.006434952840209007,0.005328904837369919,0.03311362862586975,0.01807899
bert.encoder.layer.1.attention.output.dense.weight,CELL,512,1,0.006102757528424263,0.005609743297100067,0.03952186182141304,0.02447592
bert.encoder.layer.1.intermediate.dense.weight,CELL,512,1,0.006515812128782272,0.005848215892910957,1.029906889423728,0.46252603999999997
bert.encoder.layer.1.output.dense.weight,CELL,512,2,0.007012594491243362,0.005896328017115593,0.6966089718043804,0.23841596
bert.encoder.layer.2.attention.self.query.weight,CELL,512,1,0.007215740159153938,0.005659496411681175,0.041773345321416855,0.020272250000000002
bert.encoder.layer.2.attention.self.key.weight,CELL,512,1,0.006021440029144287,0.005317509174346924,0.04217195324599743,0.020240369999999997
bert.encoder.layer.2.attention.self.value.weight,CELL,512,1,0.005951410159468651,0.005253098905086517,0.02686050906777382,0.015384869999999997
bert.encoder.layer.2.attention.output.dense.weight,CELL,512,1,0.006205322220921516,0.005509881302714348,0.029133694246411324,0.023375080000000003
bert.encoder.layer.2.intermediate.dense.weight,CELL,512,2,0.0059614405035972595,0.005289023742079735,0.9871857538819313,0.31061451
bert.encoder.layer.2.output.dense.weight,CELL,512,2,0.00652691163122654,0.005916193127632141,0.6691084913909435,0.22934697
bert.encoder.layer.3.attention.self.query.weight,CELL,512,1,0.006656952202320099,0.005612000823020935,0.056951237842440605,0.03153242
bert.encoder.layer.3.attention.self.key.weight,CELL,512,1,0.005939166992902756,0.005331682041287422,0.06310414336621761,0.03255099
bert.encoder.layer.3.attention.self.value.weight,CELL,512,1,0.00597454234957695,0.0053587257862091064,0.04591015912592411,0.02253837
bert.encoder.layer.3.attention.output.dense.weight,CELL,512,1,0.006491400301456451,0.005928542464971542,0.04757358692586422,0.02509986
bert.encoder.layer.3.intermediate.dense.weight,CELL,512,2,0.006260806694626808,0.00564916618168354,0.9220460467040539,0.29084872
bert.encoder.layer.3.output.dense.weight,CELL,512,2,0.00599256157875061,0.005335034802556038,0.5848842561244965,0.20447858
bert.encoder.layer.4.attention.self.query.weight,CELL,512,1,0.006224535405635834,0.005445046350359917,0.032943082973361015,0.01951191
bert.encoder.layer.4.attention.self.key.weight,CELL,512,1,0.006230123341083527,0.005321299657225609,0.03789990395307541,0.02309917
bert.encoder.layer.4.attention.self.value.weight,CELL,512,1,0.005971552804112434,0.005272440612316132,0.037472259253263474,0.01950633
bert.encoder.layer.4.attention.output.dense.weight,CELL,512,1,0.006112411618232727,0.0053505320101976395,0.037644101306796074,0.0245873
bert.encoder.layer.4.intermediate.dense.weight,CELL,512,2,0.005930183455348015,0.005234872922301292,0.8184169605374336,0.26445058
bert.encoder.layer.4.output.dense.weight,CELL,512,2,0.006581880152225494,0.0058772750198841095,0.48999825678765774,0.17021649
bert.encoder.layer.5.attention.self.query.weight,CELL,512,1,0.006482347846031189,0.005656875669956207,0.0223158597946167,0.013514520000000002
bert.encoder.layer.5.attention.self.key.weight,CELL,512,1,0.005997028201818466,0.005311122164130211,0.029437148943543434,0.016607479999999997
bert.encoder.layer.5.attention.self.value.weight,CELL,512,1,0.005986033007502556,0.005251960828900337,0.03337828069925308,0.01926248
bert.encoder.layer.5.attention.output.dense.weight,CELL,512,1,0.00602382980287075,0.0054811742156744,0.03222014009952545,0.024620720000000002
bert.encoder.layer.5.intermediate.dense.weight,CELL,512,2,0.005978770554065704,0.005315786227583885,0.7549593485891819,0.23765336999999997
bert.encoder.layer.5.output.dense.weight,CELL,512,2,0.0064558349549770355,0.005288995802402496,0.4274730868637562,0.1466878
