name,density,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(s)
bert.encoder.layer.0.attention.self.query.weight,0.005001491970486111,CELL,512,1,0.005854938179254532,0.005780482664704323,0.008232329040765762,0.00721572
bert.encoder.layer.0.attention.self.key.weight,0.005001491970486111,CELL,512,1,0.006255606189370155,0.0053091514855623245,0.008001692593097687,0.007143340000000001
bert.encoder.layer.0.attention.self.value.weight,0.005845811631944444,CELL,512,1,0.006040759384632111,0.005273858085274696,0.009716644883155823,0.0069307299999999995
bert.encoder.layer.0.attention.output.dense.weight,0.006054348415798611,CELL,512,1,0.005860535427927971,0.00517955981194973,0.01011149026453495,0.0119658
bert.encoder.layer.0.intermediate.dense.weight,0.16272947523328993,CELL,512,2,0.006155267357826233,0.005535075441002846,0.9937028158456087,0.29028155000000005
bert.encoder.layer.0.output.dense.weight,0.12123870849609375,CELL,512,2,0.00625959224998951,0.005065092816948891,0.7236405853182077,0.24743071000000003
bert.encoder.layer.1.attention.self.query.weight,0.0323944091796875,CELL,512,1,0.006725084036588669,0.005619172006845474,0.04939681850373745,0.02520434
bert.encoder.layer.1.attention.self.key.weight,0.03291151258680555,CELL,512,1,0.005800940096378326,0.00507509708404541,0.04982789419591427,0.028562399999999998
bert.encoder.layer.1.attention.self.value.weight,0.022601657443576388,CELL,512,1,0.005805976688861847,0.005138970911502838,0.034257205203175545,0.0181557
bert.encoder.layer.1.attention.output.dense.weight,0.025839911566840276,CELL,512,1,0.005864745005965233,0.00542028434574604,0.039650820195674896,0.024544769999999997
bert.encoder.layer.1.intermediate.dense.weight,0.17734188503689235,CELL,512,1,0.006660150364041328,0.0055539365857839584,1.0535261277109385,0.46274281
bert.encoder.layer.1.output.dense.weight,0.12066692776150173,CELL,512,2,0.00666559673845768,0.005604127421975136,0.7147398870438337,0.2384002
bert.encoder.layer.2.attention.self.query.weight,0.028844197591145832,CELL,512,1,0.006398513913154602,0.0055791400372982025,0.043857792392373085,0.020320019999999998
bert.encoder.layer.2.attention.self.key.weight,0.029379950629340276,CELL,512,1,0.005753835663199425,0.0049800630658864975,0.04537175968289375,0.0203197
bert.encoder.layer.2.attention.self.value.weight,0.018649631076388888,CELL,512,1,0.005813220515847206,0.005023946985602379,0.029338767752051353,0.015410079999999998
bert.encoder.layer.2.attention.output.dense.weight,0.0196533203125,CELL,512,1,0.005923384800553322,0.00537443533539772,0.030072417110204697,0.02336471
bert.encoder.layer.2.intermediate.dense.weight,0.16977479722764757,CELL,512,2,0.005999680608510971,0.00543157197535038,1.0113745033740997,0.31016382
bert.encoder.layer.2.output.dense.weight,0.1132952372233073,CELL,512,2,0.006423128768801689,0.005295641720294952,0.6810504086315632,0.22930126000000003
bert.encoder.layer.3.attention.self.query.weight,0.03908962673611111,CELL,512,1,0.0063478946685791016,0.005604758858680725,0.05883124843239784,0.03157401
bert.encoder.layer.3.attention.self.key.weight,0.042643229166666664,CELL,512,1,0.005769643932580948,0.0051336828619241714,0.06389801576733589,0.03258942
bert.encoder.layer.3.attention.self.value.weight,0.031463623046875,CELL,512,1,0.0057790931314229965,0.0051396191120147705,0.04729888401925564,0.02263144
bert.encoder.layer.3.attention.output.dense.weight,0.032324896918402776,CELL,512,1,0.005841867998242378,0.005336944013834,0.050255678594112396,0.025237889999999995
bert.encoder.layer.3.intermediate.dense.weight,0.1587795681423611,CELL,512,2,0.006060609593987465,0.0053566377609968185,0.9356365483254194,0.29096098000000004
bert.encoder.layer.3.output.dense.weight,0.10153876410590278,CELL,512,2,0.006231885403394699,0.005156943574547768,0.5990066155791283,0.20401118
bert.encoder.layer.4.attention.self.query.weight,0.022443983289930556,CELL,512,1,0.0058442372828722,0.005142582580447197,0.034421415999531746,0.01950107
bert.encoder.layer.4.attention.self.key.weight,0.025477091471354168,CELL,512,1,0.005753157660365105,0.0049687400460243225,0.03879549168050289,0.02314969
bert.encoder.layer.4.attention.self.value.weight,0.0255584716796875,CELL,512,1,0.005757464095950127,0.005057936534285545,0.03875276446342468,0.01960527
