name,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(ms)
bert.encoder.layer.0.attention.self.query.weight,BSR,512,0,0.005962036550045013,0,0,0.030448719999999995
bert.encoder.layer.0.attention.self.key.weight,BSR,512,0,0.006248988211154938,0,0,0.03034348
bert.encoder.layer.0.attention.self.value.weight,BSR,512,0,0.005918186157941818,0,0,0.03027095
bert.encoder.layer.0.attention.output.dense.weight,BSR,512,0,0.005830787122249603,0,0,0.02417972
bert.encoder.layer.0.intermediate.dense.weight,BSR,512,0,0.006203958764672279,0,0,0.11290903999999999
bert.encoder.layer.0.output.dense.weight,BSR,512,0,0.005840197205543518,0,0,0.19273347999999998
bert.encoder.layer.1.attention.self.query.weight,BSR,512,0,0.0058981310576200485,0,0,0.030137559999999997
bert.encoder.layer.1.attention.self.key.weight,BSR,512,0,0.005882352590560913,0,0,0.028725059999999997
bert.encoder.layer.1.attention.self.value.weight,BSR,512,0,0.005830034613609314,0,0,0.030028239999999998
bert.encoder.layer.1.attention.output.dense.weight,BSR,512,0,0.0058155059814453125,0,0,0.0221588
bert.encoder.layer.1.intermediate.dense.weight,BSR,512,0,0.005737721920013428,0,0,0.11292787
bert.encoder.layer.1.output.dense.weight,BSR,512,0,0.005732376128435135,0,0,0.1929894
bert.encoder.layer.2.attention.self.query.weight,BSR,512,0,0.006318217143416405,0,0,0.024905870000000004
bert.encoder.layer.2.attention.self.key.weight,BSR,512,0,0.006240552291274071,0,0,0.024901049999999997
bert.encoder.layer.2.attention.self.value.weight,BSR,512,0,0.008212605491280556,0,0,0.02922149
bert.encoder.layer.2.attention.output.dense.weight,BSR,512,0,0.005877044051885605,0,0,0.0202609
bert.encoder.layer.2.intermediate.dense.weight,BSR,512,0,0.00602060928940773,0,0,0.11296880000000001
bert.encoder.layer.2.output.dense.weight,BSR,512,0,0.005670683458447456,0,0,0.19256485
bert.encoder.layer.3.attention.self.query.weight,BSR,512,0,0.005720915272831917,0,0,0.030342130000000002
bert.encoder.layer.3.attention.self.key.weight,BSR,512,0,0.005762709304690361,0,0,0.030332599999999998
bert.encoder.layer.3.attention.self.value.weight,BSR,512,0,0.005871636793017387,0,0,0.030220449999999996
bert.encoder.layer.3.attention.output.dense.weight,BSR,512,0,0.005754584446549416,0,0,0.02138708
bert.encoder.layer.3.intermediate.dense.weight,BSR,512,0,0.005727279931306839,0,0,0.11291986
bert.encoder.layer.3.output.dense.weight,BSR,512,0,0.0057480838149785995,0,0,0.19130441999999998
bert.encoder.layer.4.attention.self.query.weight,BSR,512,0,0.005728825926780701,0,0,0.026852730000000002
