name,density,format,feat_size,num_parts,autotune_max_bucket,cost_model_max_bucket
c-66b,0.00019969065422283038,CELL,32,1,64,16.0
c-66b,0.00019969065422283038,CELL,64,1,16,16.0
c-66b,0.00019969065422283038,CELL,128,1,16,16.0
c-66b,0.00019969065422283038,CELL,256,1,16,16.0
c-66b,0.00019969065422283038,CELL,512,1,16,16.0
rajat15,0.00031948913292005723,CELL,32,1,64,16.0
rajat15,0.00031948913292005723,CELL,64,1,16,16.0
rajat15,0.00031948913292005723,CELL,128,1,16,16.0
rajat15,0.00031948913292005723,CELL,256,1,8,16.0
rajat15,0.00031948913292005723,CELL,512,1,16,16.0
bcspwr07,0.0022412551028576,CELL,32,1,2,4.0
bcspwr07,0.0022412551028576,CELL,64,1,2,4.0
bcspwr07,0.0022412551028576,CELL,128,1,2,4.0
bcspwr07,0.0022412551028576,CELL,256,1,4,4.0
bcspwr07,0.0022412551028576,CELL,512,1,4,4.0
fpga_dcop_20,0.003958613276001075,CELL,32,1,4,4.0
fpga_dcop_20,0.003958613276001075,CELL,64,1,4,4.0
fpga_dcop_20,0.003958613276001075,CELL,128,1,4,4.0
fpga_dcop_20,0.003958613276001075,CELL,256,1,4,4.0
fpga_dcop_20,0.003958613276001075,CELL,512,1,4,4.0
cz308,0.033542755945353345,CELL,32,4,2,8.0
cz308,0.033542755945353345,CELL,64,1,4,8.0
cz308,0.033542755945353345,CELL,128,1,8,8.0
cz308,0.033542755945353345,CELL,256,1,8,8.0
cz308,0.033542755945353345,CELL,512,1,8,8.0
OPF_6000,0.0003382261348322385,CELL,32,1,16,8.0
OPF_6000,0.0003382261348322385,CELL,64,1,8,8.0
OPF_6000,0.0003382261348322385,CELL,128,1,8,8.0
OPF_6000,0.0003382261348322385,CELL,256,1,8,8.0
OPF_6000,0.0003382261348322385,CELL,512,1,8,8.0
para-7,0.00022278268146573585,CELL,32,1,8,32.0
para-7,0.00022278268146573585,CELL,64,1,32,32.0
para-7,0.00022278268146573585,CELL,128,1,32,32.0
para-7,0.00022278268146573585,CELL,256,1,32,32.0
para-7,0.00022278268146573585,CELL,512,1,32,32.0
08blocks,0.006577777777777778,CELL,32,1,1,64.0
08blocks,0.006577777777777778,CELL,64,1,1,64.0
08blocks,0.006577777777777778,CELL,128,1,1,64.0
08blocks,0.006577777777777778,CELL,256,1,1,64.0
08blocks,0.006577777777777778,CELL,512,1,2,64.0
1138_bus,0.003130395569571381,CELL,32,1,2,4.0
1138_bus,0.003130395569571381,CELL,64,1,2,4.0
1138_bus,0.003130395569571381,CELL,128,1,2,4.0
1138_bus,0.003130395569571381,CELL,256,1,4,4.0
1138_bus,0.003130395569571381,CELL,512,1,4,4.0
rajat04,0.008897452294540552,CELL,32,1,8,8.0
rajat04,0.008897452294540552,CELL,64,1,4,8.0
rajat04,0.008897452294540552,CELL,128,1,8,8.0
rajat04,0.008897452294540552,CELL,256,1,8,8.0
rajat04,0.008897452294540552,CELL,512,1,8,8.0
can_292,0.029789829236254457,CELL,32,1,2,8.0
can_292,0.029789829236254457,CELL,64,1,2,8.0
can_292,0.029789829236254457,CELL,128,1,2,8.0
can_292,0.029789829236254457,CELL,256,1,4,8.0
can_292,0.029789829236254457,CELL,512,1,4,8.0
coAuthorsCiteseer,3.1510158890645976e-05,CELL,32,1,32,8.0
coAuthorsCiteseer,3.1510158890645976e-05,CELL,64,1,8,8.0
coAuthorsCiteseer,3.1510158890645976e-05,CELL,128,1,8,8.0
coAuthorsCiteseer,3.1510158890645976e-05,CELL,256,1,8,8.0
coAuthorsCiteseer,3.1510158890645976e-05,CELL,512,1,8,8.0
lhr04,0.004916221419877191,CELL,32,1,8,32.0
lhr04,0.004916221419877191,CELL,64,1,8,32.0
lhr04,0.004916221419877191,CELL,128,1,16,32.0
lhr04,0.004916221419877191,CELL,256,1,8,32.0
lhr04,0.004916221419877191,CELL,512,1,16,32.0
vt2010,0.00014658915806621921,CELL,32,1,8,4.0
vt2010,0.00014658915806621921,CELL,64,1,4,4.0
vt2010,0.00014658915806621921,CELL,128,1,4,4.0
vt2010,0.00014658915806621921,CELL,256,1,4,4.0
vt2010,0.00014658915806621921,CELL,512,1,4,4.0
bcspwr06,0.0025069579909522467,CELL,32,1,2,4.0
bcspwr06,0.0025069579909522467,CELL,64,1,2,4.0
bcspwr06,0.0025069579909522467,CELL,128,1,4,4.0
bcspwr06,0.0025069579909522467,CELL,256,1,4,4.0
bcspwr06,0.0025069579909522467,CELL,512,1,4,4.0
vsp_south31_slptsk,0.00024138282604953574,CELL,32,1,64,32.0
vsp_south31_slptsk,0.00024138282604953574,CELL,64,1,32,32.0
vsp_south31_slptsk,0.00024138282604953574,CELL,128,1,32,32.0
vsp_south31_slptsk,0.00024138282604953574,CELL,256,1,32,32.0
vsp_south31_slptsk,0.00024138282604953574,CELL,512,1,32,32.0
oscil_dcop_57,0.008350459707950243,CELL,32,1,1,4.0
oscil_dcop_57,0.008350459707950243,CELL,64,1,1,4.0
oscil_dcop_57,0.008350459707950243,CELL,128,1,2,4.0
oscil_dcop_57,0.008350459707950243,CELL,256,1,2,4.0
oscil_dcop_57,0.008350459707950243,CELL,512,1,4,4.0
g7jac060,0.0006467762823247375,CELL,32,1,16,64.0
g7jac060,0.0006467762823247375,CELL,64,2,16,24.0
g7jac060,0.0006467762823247375,CELL,128,2,16,24.0
g7jac060,0.0006467762823247375,CELL,256,2,16,24.0
g7jac060,0.0006467762823247375,CELL,512,1,16,64.0
foldoc,0.0006740450488437401,CELL,32,1,16,8.0
foldoc,0.0006740450488437401,CELL,64,1,8,8.0
foldoc,0.0006740450488437401,CELL,128,1,8,8.0
foldoc,0.0006740450488437401,CELL,256,1,8,8.0
foldoc,0.0006740450488437401,CELL,512,1,8,8.0
wiki-talk-temporal,2.5459580106354363e-06,CELL,32,32,16,26.0
wiki-talk-temporal,2.5459580106354363e-06,CELL,64,64,16,20.25
wiki-talk-temporal,2.5459580106354363e-06,CELL,128,64,16,20.25
wiki-talk-temporal,2.5459580106354363e-06,CELL,256,64,8,20.25
wiki-talk-temporal,2.5459580106354363e-06,CELL,512,64,8,20.25
se,9.154900908470154e-05,CELL,32,1,8,4.0
se,9.154900908470154e-05,CELL,64,1,8,4.0
se,9.154900908470154e-05,CELL,128,1,8,4.0
se,9.154900908470154e-05,CELL,256,1,8,4.0
se,9.154900908470154e-05,CELL,512,1,8,4.0
dwt_66,0.07346189164370982,CELL,32,1,2,8.0
dwt_66,0.07346189164370982,CELL,64,1,1,8.0
dwt_66,0.07346189164370982,CELL,128,1,1,8.0
dwt_66,0.07346189164370982,CELL,256,1,2,8.0
dwt_66,0.07346189164370982,CELL,512,1,2,8.0
Raj1,1.872422471419449e-05,CELL,32,1,16,4.0
Raj1,1.872422471419449e-05,CELL,64,1,16,4.0
Raj1,1.872422471419449e-05,CELL,128,1,256,4.0
Raj1,1.872422471419449e-05,CELL,256,1,128,4.0
Raj1,1.872422471419449e-05,CELL,512,1,512,4.0
dermatology_5NN,0.018214936247723135,CELL,32,1,1,8.0
dermatology_5NN,0.018214936247723135,CELL,64,1,2,8.0
dermatology_5NN,0.018214936247723135,CELL,128,1,2,8.0
dermatology_5NN,0.018214936247723135,CELL,256,1,8,8.0
dermatology_5NN,0.018214936247723135,CELL,512,1,8,8.0
nos7,0.008687700045724738,CELL,32,1,2,8.0
nos7,0.008687700045724738,CELL,64,1,4,8.0
