name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
fe_tooth,78136,78136,905182,11.584698474454797,3,39,4.986653459505466,0.0001482632650053,3.8394594041159e-05,0.000499129722535,6.382017840055118e-05,32,1,8,78.36677723424509,0.0911974,0.083855,0.919489
barth5,15606,15606,61484,3.939766756375753,2,8,0.6371483445849815,0.0002524520541058,0.0001281558374983,0.0005126233499935,4.08271398555031e-05,32,1,8,22.7194779436104,0.0141824,0.014705,1.03685
Ecoli_10NN,336,336,4560,13.571428571428571,10,26,3.1035145756204265,0.040391156462585,0.0297619047619047,0.0773809523809523,0.0092366505226798,32,1,4,7.356674786191434,0.00555008,0.007148,1.28791
dwt_758,758,758,5994,7.907651715039578,4,11,1.4964935357175078,0.0104322581992606,0.0052770448548812,0.0145118733509234,0.0019742658782552,32,1,4,8.292055997997522,0.00582656,0.006625,1.13703
HEP-th,27240,27240,342437,12.57110866372981,0,562,15.863487318416304,0.0004614944443366,0.0,0.0206314243759177,0.0005823600337157,32,1,32,84.74688471900299,0.0312422,0.064072,2.05082
rajat31,4690002,4690002,20316253,4.331821820118627,1,1252,1.1061578468601982,9.236289920811604e-07,2.1321952527952013e-07,0.0002669508456499,2.358544509917474e-07,32,1,16,224.12623790232465,2.90544,2.949622,1.01521
fpga_dcop_09,1220,1220,5888,4.826229508196722,1,36,4.013416092833041,0.0039559258263907,0.0008196721311475,0.0295081967213114,0.0032896853219942,32,1,4,14.663404336664826,0.00647168,0.008888,1.37337
ma2010,157508,157508,776610,4.930606699342255,1,67,3.1120534253091856,3.130384932411214e-05,6.34888386621632e-06,0.0004253752190364,1.975806578274872e-05,32,1,8,61.67250987421721,0.109087,0.111708,1.02403
webbase-1M,1000005,1000005,3105536,3.105520472397638,1,4700,25.34520973430581,3.105504944872914e-06,9.999950000249998e-07,0.0046999765001174,2.534508300889077e-05,32,1,8,128.74360484117642,0.474911,0.668242,1.40709
bcsstk23,3134,3134,45178,14.415443522654757,2,31,4.866668097437276,0.0045996948062076,0.0006381620931716,0.0098915124441608,0.0015528615499161,32,1,8,20.07500532409176,0.00881664,0.00895,1.01513
can_1072,1072,1072,12444,11.60820895522388,6,35,5.647401311070253,0.010828553129873,0.0055970149253731,0.0326492537313432,0.0052680982379386,32,1,4,9.558618200011551,0.00617472,0.008284,1.3416
pkustk11,87804,87804,5217912,59.42681426814268,18,132,25.032153872359626,0.000676812152842,0.0002050020500205,0.001503348366817,0.0002850912700145,32,2,16,74.7514560171403,0.289096,0.240179,0.830793
thermomech_dK,204316,204316,2846228,13.930519391530764,7,20,1.4305130731561109,6.818124567596647e-05,3.4260655063724815e-05,9.788758589635662e-05,7.001473566221492e-06,32,1,32,96.71682870108634,0.243272,0.234158,0.962536
swang2,3169,3169,20841,6.576522562322499,3,10,0.9074727943031552,0.0020752674541882,0.0009466708740927,0.0031555695803092,0.0002863593544661,32,1,8,17.326293075922877,0.00728064,0.007854,1.07875
language,399130,399130,1216334,3.0474632325307542,1,11555,20.710003110551003,7.635264782228231e-06,2.5054493523413425e-06,0.0289504672663042,5.1887863880317175e-05,32,1,8,81.05953231174499,0.244388,1.160602,4.74901
bcsstm27,1224,1224,56126,45.85457516339869,15,54,9.793293122284812,0.037462888205391,0.0122549019607843,0.0441176470588235,0.0080010564724549,32,2,16,33.55992286093533,0.008704,0.010691,1.22829
patents,3774768,3774768,14970767,3.9660098315975976,0,36,5.3156094319494,1.0506632014464458e-06,0.0,9.537009956638394e-06,1.4081950021695095e-06,32,1,64,326.47639940306544,3.3054,3.72055,1.1256
opt1,15449,15449,1930655,124.96957731892032,44,243,42.49478438055049,0.0080891693519917,0.0028480807819276,0.0157291734092821,0.0027506495165091,32,4,16,41.34990798821673,0.102164,0.115856,1.13402
SiH4,5041,5041,171903,34.100972029359255,13,205,32.83014785921707,0.0067647236717633,0.0025788534021027,0.0406665344177742,0.0065126260383291,32,1,8,19.37896151188761,0.01664,0.024852,1.49351
cit-HepTh,27770,27770,352807,12.704609290601368,0,562,15.967084334323156,0.0004574940327908,0.0,0.020237666546633,0.0005749760293238,32,1,16,42.03913218388334,0.0337306,0.069294,2.05434
usroads-48,126146,126146,323900,2.567659695907916,1,7,0.7817146758107024,2.035466598947185e-05,7.927322309070442e-06,5.5491256163493095e-05,6.19690418888195e-06,32,1,8,67.15981230325997,0.0639898,0.07808,1.22019
venkat50,62424,62424,1717792,27.518134051006022,16,44,2.293703778985305,0.0004408261894624,0.0002563116749967,0.0007048571062411,3.674394109613778e-05,32,2,32,244.8451070189476,0.103219,0.087972,0.852285
cz148,148,148,1527,10.317567567567568,1,33,7.396161497295963,0.0697132943754565,0.0067567567567567,0.2229729729729729,0.0499740641709186,32,1,2,10.57297102501616,0.00525312,0.007834,1.4913
kineticBatchReactor_5,7641,7641,80767,10.5702133228635,1,2636,50.80047188814952,0.0013833547078737,0.0001308729223923,0.3449810234262531,0.0066484062149129,32,1,16,45.37396117299795,0.0128102,0.164844,12.8682
oscil_dcop_13,430,430,1544,3.5906976744186045,1,13,1.448305176868269,0.0083504597079502,0.0023255813953488,0.0302325581395348,0.0033681515741122,32,1,1,2.7522737719118595,0.00580608,0.006267,1.07939
fpga_dcop_39,1220,1220,5892,4.829508196721312,1,36,4.012739723181456,0.003958613276001,0.0008196721311475,0.0295081967213114,0.0032891309206405,32,1,4,9.579947218764572,0.00608256,0.009093,1.49493
oscil_dcop_20,430,430,1544,3.5906976744186045,1,13,1.448305176868269,0.0083504597079502,0.0023255813953488,0.0302325581395348,0.0033681515741122,32,1,1,2.766711638309061,0.00560128,0.006369,1.13706
cage4,9,9,49,5.444444444444445,5,6,0.4969039949999532,0.6049382716049383,0.5555555555555556,0.6666666666666666,0.0552115549999947,32,1,2,3.2828611549921334,0.0049664,0.006052,1.21859
nemeth09,9506,9506,395506,41.60593309488744,18,52,6.727025682989559,0.0043768076051848,0.0018935409215232,0.0054702293288449,0.0007076610228265,32,4,16,23.222080466337506,0.0286208,0.02647,0.924852
shermanACa,3432,3432,25220,7.348484848484849,1,2498,43.330616326382085,0.0021411669138941,0.0002913752913752,0.7278554778554779,0.0126254709575705,32,1,8,23.083420570008457,0.00882688,0.133919,15.1717
freeFlyingRobot_6,3358,3358,27030,8.04943418701608,1,673,12.110467736810769,0.0023970917769553,0.0002977963073257,0.2004169148302561,0.0036064525720103,32,1,8,13.913479402661324,0.00804864,0.051876,6.44531
freeFlyingRobot_14,5958,5958,43298,7.267203759650889,1,1193,15.720657602785602,0.0012197387981958,0.0001678415575696,0.2002349781805975,0.0026385796580707,32,1,8,18.572030605748296,0.0100659,0.069786,6.93291
spaceShuttleEntry_2,1428,1428,24073,16.857843137254903,2,1323,35.01484421264641,0.0118052122809908,0.0014005602240896,0.9264705882352942,0.0245201990284638,32,1,16,25.033921101130545,0.00735232,0.07593,10.3274
oscil_dcop_48,430,430,1544,3.5906976744186045,1,13,1.448305176868269,0.0083504597079502,0.0023255813953488,0.0302325581395348,0.0033681515741122,32,1,1,2.844405733048916,0.00570368,0.006963,1.22079
nemeth06,9506,9506,394808,41.53250578581948,17,52,6.670023439050719,0.0043690832932694,0.0017883442036608,0.0054702293288449,0.0007016645738534,32,4,16,19.5601959079504,0.0286003,0.026522,0.927333
nh2010,48837,48837,234550,4.802711059237873,1,74,3.2735890928741376,9.834164791526656e-05,2.0476278231668613e-05,0.0015152445891434,6.70309210818465e-05,32,1,4,28.682744207791984,0.0366797,0.038492,1.04941
TSC_OPF_300,9774,9774,820804,83.97830980151421,1,4206,193.0304621047047,0.0085920104155426,0.0001023122570083,0.4303253529772867,0.0197493822493047,32,8,16,111.1554634817876,0.0569856,0.371312,6.51589
conf6_0-8x8-80,49152,49152,1916928,39.0,39,39,0.0,0.00079345703125,0.00079345703125,0.00079345703125,0.0,32,1,8,49.70331872487441,0.111514,0.095785,0.85895
lshp1882,1882,1882,12904,6.85653560042508,4,7,0.5212103812137674,0.0036432176410335,0.002125398512221,0.0037194473963868,0.0002769449421964,32,1,4,28.47541163815185,0.00625664,0.007352,1.17507
freeFlyingRobot_8,4398,4398,34958,7.948613005911778,1,881,13.688275709219845,0.0018073244670104,0.0002273760800363,0.2003183265120509,0.0031123864732196,32,1,8,21.688183058984578,0.00898048,0.065321,7.27366
G36,2000,2000,23532,11.766,4,326,13.613752017720907,0.005883,0.002,0.163,0.0068068760088604,32,1,8,13.509811117313802,0.00777216,0.024986,3.21481
memplus,17758,17758,126150,7.103840522581372,2,574,22.03544651570614,0.0004000360695225,0.0001126252956414,0.0323234598490821,0.0012408743392108,32,1,16,22.10003451583907,0.0183603,0.044339,2.41494
qh768,768,768,2934,3.8203125,1,10,1.59475177870322,0.004974365234375,0.0013020833333333,0.0130208333333333,0.0020764997118531,32,1,2,10.336095164064318,0.00549888,0.006502,1.18242
conf6_0-4x4-20,3072,3072,119808,39.0,39,39,0.0,0.0126953125,0.0126953125,0.0126953125,0.0,32,1,8,72.41335158469155,0.0120525,0.012605,1.04584
net25,9520,9520,401200,42.142857142857146,3,139,32.47989959268687,0.0044267707082833,0.0003151260504201,0.0146008403361344,0.0034117541588956,32,2,16,32.7437904975377,0.0308941,0.039045,1.26383
reorientation_3,2513,2513,32166,12.79984082769598,1,2360,47.20950216937387,0.0050934503890553,0.0003979307600477,0.939116593712694,0.0187861130797349,32,1,8,21.958901965990663,0.00869376,0.136069,15.6513
adder_dcop_56,1813,1813,11246,6.202978488692774,1,1310,30.77714949450744,0.0034213891277952,0.0005515719801434,0.7225592939878654,0.0169758132898551,32,1,8,21.82755747437477,0.00734208,0.083548,11.3793
cage11,39082,39082,559722,14.321733790491786,3,31,4.474231010796766,0.0003664534514736,7.676168056905992e-05,0.0007932040325469,0.0001144831638809,32,1,16,74.96826507803053,0.0507699,0.042783,0.842684
cavity19,4562,4562,138187,30.290881192459448,1,62,16.887843404561576,0.0066398248997061,0.0002192021043402,0.0135905304690925,0.0037018508120476,32,1,8,26.16373770078644,0.0150323,0.016609,1.10489
dwt_878,878,878,7448,8.482915717539864,4,10,1.181310291280825,0.0096616352135989,0.0045558086560364,0.0113895216400911,0.0013454559126205,32,1,4,8.476517093367875,0.0057344,0.006513,1.13578
Sandi_authors,86,86,248,2.883720930232558,1,12,2.309830380620262,0.0335316387236344,0.0116279069767441,0.1395348837209302,0.02685849279791,32,1,1,3.147011447697878,0.00500736,0.006595,1.31706
