name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
fe_tooth,78136,78136,905182,11.584698474454797,3,39,4.986653459505466,0.0001482632650053,3.8394594041159e-05,0.000499129722535,6.382017840055118e-05,32,1,8,0.0909517,0.083569,0.918828
fe_tooth,78136,78136,905182,11.584698474454797,3,39,4.986653459505466,0.0001482632650053,3.8394594041159e-05,0.000499129722535,6.382017840055118e-05,64,1,8,0.139889,0.122163,0.873285
fe_tooth,78136,78136,905182,11.584698474454797,3,39,4.986653459505466,0.0001482632650053,3.8394594041159e-05,0.000499129722535,6.382017840055118e-05,128,1,8,0.267039,0.23724,0.88841
fe_tooth,78136,78136,905182,11.584698474454797,3,39,4.986653459505466,0.0001482632650053,3.8394594041159e-05,0.000499129722535,6.382017840055118e-05,256,1,8,0.526787,0.466278,0.885136
fe_tooth,78136,78136,905182,11.584698474454797,3,39,4.986653459505466,0.0001482632650053,3.8394594041159e-05,0.000499129722535,6.382017840055118e-05,512,1,8,1.04821,0.898683,0.85735
barth5,15606,15606,61484,3.939766756375753,2,8,0.6371483445849815,0.0002524520541058,0.0001281558374983,0.0005126233499935,4.08271398555031e-05,32,1,16,0.0127693,0.015534,1.21651
barth5,15606,15606,61484,3.939766756375753,2,8,0.6371483445849815,0.0002524520541058,0.0001281558374983,0.0005126233499935,4.08271398555031e-05,64,2,4,0.020777,0.019159,0.922125
barth5,15606,15606,61484,3.939766756375753,2,8,0.6371483445849815,0.0002524520541058,0.0001281558374983,0.0005126233499935,4.08271398555031e-05,128,4,4,0.036567,0.032389,0.885744
barth5,15606,15606,61484,3.939766756375753,2,8,0.6371483445849815,0.0002524520541058,0.0001281558374983,0.0005126233499935,4.08271398555031e-05,256,1,4,0.0665293,0.05675,0.853008
barth5,15606,15606,61484,3.939766756375753,2,8,0.6371483445849815,0.0002524520541058,0.0001281558374983,0.0005126233499935,4.08271398555031e-05,512,1,8,0.123945,0.103291,0.833362
Ecoli_10NN,336,336,4560,13.571428571428571,10,26,3.1035145756204265,0.040391156462585,0.0297619047619047,0.0773809523809523,0.0092366505226798,32,1,2,0.00549888,0.007649,1.39101
Ecoli_10NN,336,336,4560,13.571428571428571,10,26,3.1035145756204265,0.040391156462585,0.0297619047619047,0.0773809523809523,0.0092366505226798,64,1,2,0.00591872,0.007926,1.33914
