name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
dc2,116835,116835,766396,6.559643942311808,1,114190,361.4981022988756,5.614451099680582e-05,8.559079043094963e-06,0.977361235931014,0.0030940908315049,32,1,64,0.11009,10.93204,99.3009
dc3,116835,116835,766396,6.559643942311808,1,114190,361.4981022988756,5.614451099680582e-05,8.559079043094963e-06,0.977361235931014,0.0030940908315049,32,1,64,0.109967,10.826526,98.4525
trans5,116835,116835,766396,6.559643942311808,1,114190,361.4981022988756,5.614451099680582e-05,8.559079043094963e-06,0.977361235931014,0.0030940908315049,32,1,64,0.110152,10.827654,98.2974
trans4,116835,116835,766396,6.559643942311808,1,114190,361.4981022988756,5.614451099680582e-05,8.559079043094963e-06,0.977361235931014,0.0030940908315049,32,1,64,0.110336,10.826938,98.127
dc1,116835,116835,766396,6.559643942311808,1,114190,361.4981022988756,5.614451099680582e-05,8.559079043094963e-06,0.977361235931014,0.0030940908315049,32,1,64,0.110408,10.821959,98.0179
ins2,309412,309412,2751484,8.89262213488811,5,309412,590.3552878252581,2.874039188812364e-05,1.6159683528757773e-05,1.0,0.0019079909241569,32,1,64,0.34262,26.271477,76.6782
ASIC_100k,99340,99340,954163,9.605023152808537,1,99029,420.91440449328906,9.668837480177708e-05,1.00664384940608e-05,0.9968693376283472,0.0042371089640959,32,1,64,0.115753,8.48169,73.274
ASIC_680k,682862,682862,3871773,5.669920130275224,1,395259,659.8073579972603,8.303171256088673e-06,1.464424730033301e-06,0.5788270543682326,0.0009662382121091,32,1,128,0.6178,37.665802,60.9676
blockqp1,60012,60012,640033,10.66508364993668,2,40011,305.43015318766874,0.0001777158509954,3.332666799973339e-05,0.6667166566686663,0.0050894846561965,32,1,64,0.0628224,3.553638,56.5664
boyd1,93279,93279,1211231,12.985034144877195,3,93261,653.3973650148293,0.0001392064038516,3.216157977679864e-05,0.9998070305213392,0.0070047638269581,32,16,32,0.123771,6.024878,48.6776
mult_dcop_03,25187,25187,193216,7.671258982808592,1,22767,143.81390749802685,0.0003045721595588,3.970302139992854e-05,0.9039186882121728,0.0057098466470015,32,1,32,0.0281702,1.370276,48.6428
brainpc2,27607,27607,179395,6.498170753794327,1,13799,131.25506289984756,0.0002353812711918,3.62226971420292e-05,0.4998369978628608,0.0047544123917791,32,1,32,0.0261632,1.242327,47.4838
