name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
mycielskian20,786431,786431,2710370560,3446.41877,19,393215,7267.463086,0.004382353659,2.42E-05,0.4999993642,0.009241068938,32,1,128,744.6912871,inf,inf,nan
mycielskian20,786431,786431,2710370560,3446.41877,19,393215,7267.463086,0.004382353659,2.42E-05,0.4999993642,0.009241068938,64,1,128,784.6938415,inf,inf,nan
mycielskian20,786431,786431,2710370560,3446.41877,19,393215,7267.463086,0.004382353659,2.42E-05,0.4999993642,0.009241068938,128,1,128,995.8160054,inf,inf,nan
mycielskian20,786431,786431,2710370560,3446.41877,19,393215,7267.463086,0.004382353659,2.42E-05,0.4999993642,0.009241068938,256,1,128,736.9515066,inf,inf,nan
mycielskian20,786431,786431,2710370560,3446.41877,19,393215,7267.463086,0.004382353659,2.42E-05,0.4999993642,0.009241068938,512,1,128,806.3327888,inf,inf,nan
arabic-2005,22744080,22744080,639999458,28.13916668,0,9905,78.84866304,1.24E-06,0,0.0004354979406,3.47E-06,32,2,16,14625.01171,37.9702,31.949472,0.841435
arabic-2005,22744080,22744080,639999458,28.13916668,0,9905,78.84866304,1.24E-06,0,0.0004354979406,3.47E-06,64,1,1,1665.443187,inf,inf,nan
arabic-2005,22744080,22744080,639999458,28.13916668,0,9905,78.84866304,1.24E-06,0,0.0004354979406,3.47E-06,128,1,1,1545.794271,inf,inf,nan
arabic-2005,22744080,22744080,639999458,28.13916668,0,9905,78.84866304,1.24E-06,0,0.0004354979406,3.47E-06,256,1,1,1577.497521,inf,inf,nan
arabic-2005,22744080,22744080,639999458,28.13916668,0,9905,78.84866304,1.24E-06,0,0.0004354979406,3.47E-06,512,1,1,1564.149269,inf,inf,nan
